"uid","namedLocation","domainID","siteID","plotID","pointID","startDate","endDate","sampleID","subsampleID","cameraOrientation","cameraPosition","biophysicalCriteria","imageType","imageFileName","imageFileUrl","remarks","publicationDate","release"
"656b0080-9b89-4cad-b673-23abea4feecc","DELA_053.basePlot.dhp","D08","DELA","DELA_053","E10",2023-06-06 10:25:00,2023-06-06 13:39:00,"DHP.2023.23.DELA053","DHP.2023.23.DELA053.E10.UNDERSTORY","downward","extendedMonopole","OK - no known exceptions","understory","D08_7589.NEF","https://storage.neonscience.org/neon-dhp-images/D08/2023/DELA23/DELA_053/understory/D08_7589.NEF",NA,"20241118T132242Z","RELEASE-2025"
"416c66fc-392b-4d73-a347-cf526f3f5cdc","DELA_053.basePlot.dhp","D08","DELA","DELA_053","W6",2023-06-06 10:25:00,2023-06-06 13:39:00,"DHP.2023.23.DELA053","DHP.2023.23.DELA053.W6.UNDERSTORY","downward","extendedMonopole","OK - no known exceptions","understory","D08_7598.NEF","https://storage.neonscience.org/neon-dhp-images/D08/2023/DELA23/DELA_053/understory/D08_7598.NEF",NA,"20241118T132242Z","RELEASE-2025"
"ae51111e-baac-4e63-83f5-3c47f00be343","DELA_053.basePlot.dhp","D08","DELA","DELA_053","S6",2023-06-06 10:25:00,2023-06-06 13:39:00,"DHP.2023.23.DELA053","DHP.2023.23.DELA053.S6.UNDERSTORY","downward","extendedMonopole","OK - no known exceptions","understory","D08_7592.NEF","https://storage.neonscience.org/neon-dhp-images/D08/2023/DELA23/DELA_053/understory/D08_7592.NEF",NA,"20241118T132242Z","RELEASE-2025"
"40a16829-ad5a-4b07-822f-b7af6d904c43","DELA_053.basePlot.dhp","D08","DELA","DELA_053","E2",2023-06-06 10:25:00,2023-06-06 13:39:00,"DHP.2023.23.DELA053","DHP.2023.23.DELA053.E2.UNDERSTORY","downward","extendedMonopole","OK - no known exceptions","understory","D08_7585.NEF","https://storage.neonscience.org/neon-dhp-images/D08/2023/DELA23/DELA_053/understory/D08_7585.NEF",NA,"20241118T132242Z","RELEASE-2025"
"c1ac3243-22c6-49d7-8371-d0aaf90f15e2","DELA_053.basePlot.dhp","D08","DELA","DELA_053","N2",2023-06-06 10:25:00,2023-06-06 13:39:00,"DHP.2023.23.DELA053","DHP.2023.23.DELA053.N2.UNDERSTORY","downward","extendedMonopole","OK - no known exceptions","understory","D08_7580.NEF","https://storage.neonscience.org/neon-dhp-images/D08/2023/DELA23/DELA_053/understory/D08_7580.NEF",NA,"20241118T132242Z","RELEASE-2025"
"5300150f-3ecc-413e-a7d7-f40b67919917","DELA_053.basePlot.dhp","D08","DELA","DELA_053","W2",2023-06-06 10:25:00,2023-06-06 13:39:00,"DHP.2023.23.DELA053","DHP.2023.23.DELA053.W2.UNDERSTORY","downward","extendedMonopole","OK - no known exceptions","understory","D08_7595.NEF","https://storage.neonscience.org/neon-dhp-images/D08/2023/DELA23/DELA_053/understory/D08_7595.NEF",NA,"20241118T132242Z","RELEASE-2025"
"b148ad83-b55e-435f-95c1-1b6103e30802","DELA_053.basePlot.dhp","D08","DELA","DELA_053","W10",2023-06-06 10:25:00,2023-06-06 13:39:00,"DHP.2023.23.DELA053","DHP.2023.23.DELA053.W10.UNDERSTORY","downward","extendedMonopole","OK - no known exceptions","understory","D08_7601.NEF","https://storage.neonscience.org/neon-dhp-images/D08/2023/DELA23/DELA_053/understory/D08_7601.NEF",NA,"20241118T132242Z","RELEASE-2025"
"5eae8cab-0774-4c73-8739-e8496aaf11ca","DELA_053.basePlot.dhp","D08","DELA","DELA_053","N6",2023-06-06 10:25:00,2023-06-06 13:39:00,"DHP.2023.23.DELA053","DHP.2023.23.DELA053.N6.UNDERSTORY","downward","extendedMonopole","OK - no known exceptions","understory","D08_7582.NEF","https://storage.neonscience.org/neon-dhp-images/D08/2023/DELA23/DELA_053/understory/D08_7582.NEF",NA,"20241118T132242Z","RELEASE-2025"
"2ea8aa83-bae9-4479-99d2-6fd78134d23b","DELA_053.basePlot.dhp","D08","DELA","DELA_053","N10",2023-06-06 10:25:00,2023-06-06 13:39:00,"DHP.2023.23.DELA053","DHP.2023.23.DELA053.N10.UNDERSTORY","downward","extendedMonopole","OK - no known exceptions","understory","D08_7602.NEF","https://storage.neonscience.org/neon-dhp-images/D08/2023/DELA23/DELA_053/understory/D08_7602.NEF",NA,"20241118T132242Z","RELEASE-2025"
"e097e159-090a-4d84-8e0c-b65559765543","DELA_053.basePlot.dhp","D08","DELA","DELA_053","E6",2023-06-06 10:25:00,2023-06-06 13:39:00,"DHP.2023.23.DELA053","DHP.2023.23.DELA053.E6.UNDERSTORY","downward","extendedMonopole","OK - no known exceptions","understory","D08_7587.NEF","https://storage.neonscience.org/neon-dhp-images/D08/2023/DELA23/DELA_053/understory/D08_7587.NEF",NA,"20241118T132242Z","RELEASE-2025"
